# Plate,T8,Quality,GOOD,FWHM_MAX,10
# IS_median_FWHM,7.0,Samp_median_FWHM,8.0,IS_per_well,6.0
Well,N_Peaks,MF,Status,Scans,Norm_Areas
A01,1,0.0000,homozygous (1 peak),2218,13.65
A02,1,0.0000,homozygous (1 peak),2147,14.54
A03,1,0.0000,homozygous (1 peak),2529,10.89
A04,2,0.4791,het-like (2 peaks),2424;2442,13.53;14.71
A05,3,0.6316,low MF (3 peaks),2407;2612;2709,5.22;4.74;5.20
A06,1,0.0000,homozygous (1 peak),2377,16.36
A07,4,0.3461,het (4 peaks),2260;2338;2548;2664,5.79;6.31;10.39;10.19
A08,3,0.6372,low MF (3 peaks),2351;2549;2662,4.53;5.83;5.46
A09,1,0.0000,homozygous (1 peak),2456,13.89
A10,1,0.0000,homozygous (1 peak),2450,12.51
A11,3,0.5751,low MF (3 peaks),2219;2421;2546,4.85;7.73;5.40
A12,3,0.5919,low MF (3 peaks),2206;2403;2528,6.40;9.29;7.03
B01,1,0.0000,homozygous (1 peak),2210,15.99
B02,3,0.6475,low MF (3 peaks),2236;2441;2530,4.26;5.12;5.00
B03,1,0.0000,homozygous (1 peak),2550,18.44
B04,4,0.4732,het (4 peaks),2401;2511;2739;2818,7.49;8.19;7.40;7.60
B05,2,0.4770,het-like (2 peaks),2419;2430,13.66;14.98
B06,3,0.6434,low MF (3 peaks),2258;2285;2556,17.89;17.30;16.04
B07,2,0.4617,het-like (2 peaks),2362;2385,20.76;17.80
B08,3,0.6138,low MF (3 peaks),2384;2585;2690,14.24;20.30;19.75
B09,3,0.6114,low MF (3 peaks),2480;2700;2785,4.58;4.61;5.58
B10,2,0.3924,het-like (2 peaks),2449;2470,17.20;11.11
B11,1,0.0000,homozygous (1 peak),2231,15.29
B12,1,0.0000,homozygous (1 peak),2210,12.15
C01,2,0.4328,het-like (2 peaks),2154;2169,15.41;11.75
C02,3,0.5533,low MF (3 peaks),2255;2462;2543,5.69;4.69;6.36
C03,1,0.0000,homozygous (1 peak),2450,20.79
C04,4,0.4380,het (4 peaks),2444;2562;2785;2864,6.04;11.24;7.38;11.05
C05,3,0.6297,low MF (3 peaks),2424;2620;2705,6.90;6.55;6.41
C06,3,0.5179,low MF (3 peaks),2399;2615;2712,6.59;9.33;13.54
C07,4,0.3373,het (4 peaks),2515;2708;2769;2867,22.79;5.21;10.49;8.74
C08,4,0.3888,het (4 peaks),2298;2378;2583;2690,8.80;7.06;11.94;12.73
C09,2,0.4396,het-like (2 peaks),2473;2507,15.35;12.05
C10,1,0.0000,homozygous (1 peak),2481,13.50
C11,3,0.6390,low MF (3 peaks),2240;2444;2565,4.28;5.07;4.84
C12,1,0.0000,homozygous (1 peak),2249,9.92
D01,1,0.0000,homozygous (1 peak),2231,14.79
D02,1,0.0000,homozygous (1 peak),2212,12.76
D03,1,0.0000,homozygous (1 peak),2446,20.31
D04,3,0.6394,low MF (3 peaks),2551;2768;2847,11.15;10.34;14.39
D05,3,0.5827,low MF (3 peaks),2436;2637;2726,9.39;13.07;13.02
D06,4,0.3430,het (4 peaks),2321;2409;2625;2719,6.20;11.05;13.80;14.68
D07,2,0.3896,het-like (2 peaks),2764;2859,15.71;10.03
D08,2,0.4753,het-like (2 peaks),2329;2352,13.90;15.35
D09,3,0.5299,low MF (3 peaks),2477;2697;2778,3.92;3.69;7.45
D10,3,0.5770,low MF (3 peaks),2494;2666;2746,7.18;7.07;7.81
D11,1,0.0000,homozygous (1 peak),2272,13.75
D12,1,0.0000,homozygous (1 peak),2160,13.64
E01,3,0.6343,low MF (3 peaks),2224;2432;2519,4.86;5.57;5.39
E02,1,0.0000,homozygous (1 peak),2248,11.56
E03,3,0.5610,low MF (3 peaks),2574;2783;2855,13.26;7.19;7.84
E04,4,0.4234,het (4 peaks),2454;2575;2795;2874,6.00;9.68;8.71;9.60
E05,3,0.5776,low MF (3 peaks),2390;2595;2683,6.58;12.40;11.55
E06,1,0.0000,homozygous (1 peak),2378,15.05
E07,3,0.6283,low MF (3 peaks),2396;2607;2708,11.72;14.22;14.58
E08,1,0.0000,homozygous (1 peak),2887,6.39
E09,1,0.0000,homozygous (1 peak),2348,11.61
E10,1,0.0000,homozygous (1 peak),2489,12.72
E11,2,0.4732,het-like (2 peaks),2286;2298,11.33;10.18
E12,1,0.0000,homozygous (1 peak),2241,13.48
