feature
Channel1_energy
Channel1_max
Channel1_max_peak_hgt
Channel1_max_peak_scan
Channel1_mean
Channel1_min
Channel1_n_peaks
Channel1_std
Channel2_energy
Channel2_max
Channel2_max_peak_hgt
Channel2_max_peak_scan
Channel2_mean
Channel2_min
Channel2_n_peaks
Channel2_std
Channel3_mean
Channel3_noise
Channel3_std
IS_1_hgt
IS_1_scan
IS_2_hgt
IS_2_scan
IS_3_hgt
IS_3_scan
IS_4_hgt
IS_4_scan
IS_Ch2_ratio_mean
IS_Ch2_ratio_min
IS_mean_hgt
IS_n
IS_spread
