# Plate,T10,Quality,POOR,FWHM_MAX,25
# IS_median_FWHM,26.0,Samp_median_FWHM,13.0,IS_per_well,5.5
Well,N_Peaks,MF,Status,Scans,Norm_Areas
A01,1,0.0000,homozygous (1 peak),2170,15.67
A02,1,0.0000,homozygous (1 peak),2511,12.96
A03,4,0.4794,het (4 peaks),2441;2524;2719;2809,4.41;5.99;4.58;3.61
A04,1,0.0000,homozygous (1 peak),2532,13.91
A05,1,0.0000,homozygous (1 peak),2155,20.77
A06,1,0.0000,homozygous (1 peak),2178,13.74
A07,1,0.0000,homozygous (1 peak),2692,24.36
A08,3,0.6223,low MF (3 peaks),2576;2677;2853,3.29;4.16;2.68
A09,4,0.2569,het (4 peaks),2442;2529;2726;2819,4.05;5.16;1.35;1.25
A10,4,0.4822,het (4 peaks),2425;2510;2722;2817,3.05;3.81;2.97;2.58
A11,3,0.6345,low MF (3 peaks),2443;2636;2745,9.57;10.68;9.71
A12,1,0.0000,homozygous (1 peak),2417,7.55
B01,3,0.6349,low MF (3 peaks),2536;2806;2909,9.38;7.46;8.81
B02,1,0.0000,homozygous (1 peak),2432,18.17
B03,2,0.2006,het-like (2 peaks),2591;2774,79.42;9.25
B04,2,0.3475,het-like (2 peaks),2559;2704,17.30;9.21
B05,3,0.5838,low MF (3 peaks),2175;2309;2431,10.27;6.54;9.16
B06,3,0.4852,low MF (3 peaks),2142;2258;2360,11.08;5.98;5.96
B07,1,0.0000,homozygous (1 peak),2705,20.53
B08,3,0.6174,low MF (3 peaks),2590;2701;2870,3.86;6.49;5.67
B09,3,0.6345,low MF (3 peaks),2554;2758;2841,5.58;5.84;5.79
B10,1,0.0000,homozygous (1 peak),2501,12.52
B11,3,0.6515,low MF (3 peaks),2439;2640;2751,14.67;11.44;9.76
B12,4,0.4531,het (4 peaks),2355;2418;2619;2749,4.12;5.20;4.31;3.25
C01,1,0.0000,homozygous (1 peak),2147,12.88
C02,3,0.6319,low MF (3 peaks),2499;2795;2882,8.01;10.60;9.78
C03,2,0.4421,het-like (2 peaks),2583;2598,15.40;19.44
C04,4,0.4485,het (4 peaks),2464;2553;2749;2832,7.01;5.58;7.26;5.97
C05,1,0.0000,homozygous (1 peak),2157,28.53
C06,1,0.0000,homozygous (1 peak),2178,12.56
C07,1,0.0000,homozygous (1 peak),2695,23.52
C08,3,0.6482,low MF (3 peaks),2591;2697;2868,7.27;8.67;7.34
C09,1,0.0000,homozygous (1 peak),2549,25.86
C10,4,0.4676,het (4 peaks),2427;2517;2735;2829,2.85;3.49;3.25;3.03
C11,1,0.0000,homozygous (1 peak),2381,11.25
C12,4,0.4392,het (4 peaks),2379;2444;2655;2778,3.59;4.06;4.76;4.14
D01,1,0.0000,homozygous (1 peak),2572,27.47
D02,1,0.0000,homozygous (1 peak),2633,25.49
D03,3,0.6538,low MF (3 peaks),2510;2778;2860,11.57;10.25;9.58
D04,1,0.0000,homozygous (1 peak),2564,16.36
D05,4,0.4214,het (4 peaks),2158;2186;2331;2457,7.36;16.17;8.63;10.31
