# Plate,T9,Quality,GOOD,FWHM_MAX,10
# IS_median_FWHM,7.0,Samp_median_FWHM,5.0,IS_per_well,5.8
Well,N_Peaks,MF,Status,Scans,Norm_Areas
E05,4,0.3911,het (4 peaks),2291;2382;2589;2676,4.14;3.59;5.38;5.27
E06,4,0.4336,het (4 peaks),2290;2379;2572;2658,5.34;5.12;6.15;6.40
E07,2,0.4429,het-like (2 peaks),2309;2325,11.55;14.52
E08,3,0.6453,low MF (3 peaks),2613;2743;2883,11.63;8.91;7.51
E09,3,0.5210,low MF (3 peaks),2490;2689;2759,7.67;3.63;4.10
E10,1,0.0000,homozygous (1 peak),2363,11.52
E11,1,0.0000,homozygous (1 peak),2233,9.52
E12,1,0.0000,homozygous (1 peak),2139,11.25
F01,2,0.4879,het-like (2 peaks),2426;2501,1.68;1.59
F02,3,0.6506,low MF (3 peaks),2246;2446;2520,2.84;2.76;2.79
F03,3,0.6254,low MF (3 peaks),2594;2807;2869,11.87;8.40;8.06
F04,3,0.6455,low MF (3 peaks),2579;2792;2862,11.04;9.54;9.41
F05,2,0.4540,het-like (2 peaks),2417;2439,13.14;10.93
F06,1,0.0000,homozygous (1 peak),2353,18.58
F07,0,0.0000,no peaks,,
F08,1,0.0000,homozygous (1 peak),2438,19.63
F09,3,0.6329,low MF (3 peaks),2483;2685;2751,7.90;6.59;6.62
F10,1,0.0000,homozygous (1 peak),2496,12.61
F11,3,0.6503,low MF (3 peaks),2239;2443;2551,3.28;3.48;3.36
F12,1,0.0000,homozygous (1 peak),2135,11.25
G01,1,0.0000,homozygous (1 peak),2271,10.38
G02,3,0.6326,low MF (3 peaks),2251;2448;2523,2.96;3.19;3.28
G03,1,0.0000,homozygous (1 peak),2452,13.88
G04,2,0.4704,het-like (2 peaks),2600;2625,14.02;15.78
G05,1,0.0000,homozygous (1 peak),2406,13.44
G06,2,0.4620,het-like (2 peaks),2416;2434,11.09;9.52
G07,0,0.0000,no peaks,,
G08,1,0.0000,homozygous (1 peak),2402,14.02
G09,1,0.0000,homozygous (1 peak),2493,8.87
G10,1,0.0000,homozygous (1 peak),2516,12.39
G11,3,0.6468,low MF (3 peaks),2216;2425;2530,3.14;3.13;3.10
G12,1,0.0000,homozygous (1 peak),2194,11.36
H01,4,0.4577,het (4 peaks),2155;2247;2447;2526,0.46;0.52;0.57;0.55
H02,3,0.4994,low MF (3 peaks),2247;2443;2523,2.95;1.54;1.52
H03,3,0.6222,low MF (3 peaks),2546;2766;2835,3.66;2.14;2.78
H04,3,0.5907,low MF (3 peaks),2561;2601;2678,0.95;0.72;0.58
H05,1,0.0000,homozygous (1 peak),2258,8.60
H06,3,0.6035,low MF (3 peaks),2419;2592;2668,6.62;4.92;4.72
H07,2,0.4053,het-like (2 peaks),2332;2629,5.46;8.30
H08,4,0.4784,het (4 peaks),2353;2498;2535;2728,7.67;5.63;4.13;7.39
H09,3,0.6096,low MF (3 peaks),2499;2682;2741,3.20;2.18;2.24
H10,3,0.6121,low MF (3 peaks),2537;2722;2780,3.85;2.92;2.81
H11,1,0.0000,homozygous (1 peak),2296,8.23
H12,1,0.0000,homozygous (1 peak),2177,12.79
