# Plate,T6,Quality,GOOD,FWHM_MAX,10
# IS_median_FWHM,9.5,Samp_median_FWHM,6.0,IS_per_well,6.7
Well,N_Peaks,MF,Status,Scans,Norm_Areas
A01,1,0.0000,homozygous (1 peak),2386,0.70
A02,3,0.6252,low MF (3 peaks),2167;2363;2459,2.75;3.37;3.69
A03,1,0.0000,homozygous (1 peak),2546,8.31
A04,2,0.4623,het-like (2 peaks),2542;2564,9.30;10.82
A05,4,0.4809,het (4 peaks),2324;2426;2629;2726,1.14;3.50;2.24;2.29
A06,1,0.0000,homozygous (1 peak),2308,11.90
A07,1,0.0000,homozygous (1 peak),2364,8.94
A08,1,0.0000,homozygous (1 peak),2349,10.71
A09,1,0.0000,homozygous (1 peak),2465,7.98
A10,1,0.0000,homozygous (1 peak),2456,7.30
A11,3,0.6180,low MF (3 peaks),2229;2518;2638,2.39;2.63;2.89
A12,1,0.0000,homozygous (1 peak),2296,10.45
B01,1,0.0000,homozygous (1 peak),2213,10.87
B02,4,0.4375,het (4 peaks),2128;2221;2424;2512,2.48;2.77;3.14;3.36
B03,1,0.0000,homozygous (1 peak),2559,16.62
B04,3,0.6360,low MF (3 peaks),2417;2751;2831,3.41;2.89;3.25
B05,4,0.4618,het (4 peaks),2335;2440;2647;2740,3.68;3.01;3.35;3.49
B06,2,0.4496,het-like (2 peaks),2337;2354,11.06;13.54
B07,2,0.4858,het-like (2 peaks),2364;2382,11.78;12.47
B08,1,0.0000,homozygous (1 peak),2289,22.66
B09,4,0.4598,het (4 peaks),2398;2508;2730;2813,2.52;4.01;2.56;3.62
B10,4,0.4790,het (4 peaks),2353;2462;2693;2782,2.56;2.96;2.56;2.88
B11,1,0.0000,homozygous (1 peak),2312,10.82
B12,1,0.0000,homozygous (1 peak),2288,10.03
C01,3,0.6390,low MF (3 peaks),2194;2384;2483,2.67;2.69;2.91
C02,4,0.4685,het (4 peaks),2139;2233;2436;2517,2.48;2.20;2.72;2.50
C03,4,0.4455,het (4 peaks),2463;2580;2803;2889,3.84;4.64;3.51;4.28
C04,1,0.0000,homozygous (1 peak),2452,10.32
C05,1,0.0000,homozygous (1 peak),2449,10.56
C06,1,0.0000,homozygous (1 peak),2328,12.87
C07,4,0.4263,het (4 peaks),2293;2375;2590;2703,5.39;7.27;8.85;8.29
C08,2,0.4176,het-like (2 peaks),2369;2385,8.88;12.39
C09,2,0.4734,het-like (2 peaks),2509;2541,8.58;15.53
C10,1,0.0000,homozygous (1 peak),2386,10.74
C11,4,0.4479,het (4 peaks),2238;2321;2534;2648,2.23;2.89;2.82;2.01
C12,1,0.0000,homozygous (1 peak),2317,9.45
D01,1,0.0000,homozygous (1 peak),2221,9.69
D02,4,0.4355,het (4 peaks),2139;2226;2424;2513,2.43;2.60;3.25;3.14
D03,1,0.0000,homozygous (1 peak),2572,12.08
D04,1,0.0000,homozygous (1 peak),2552,10.66
D05,4,0.4321,het (4 peaks),2345;2454;2648;2732,3.45;4.85;4.52;4.78
D06,2,0.3615,het-like (2 peaks),2422;2506,15.78;8.94
D07,1,0.0000,homozygous (1 peak),2400,11.64
D08,4,0.4413,het (4 peaks),2332;2410;2614;2723,8.48;10.50;10.43;10.32
D09,4,0.3913,het (4 peaks),2391;2492;2713;2797,2.94;3.15;2.60;5.07
D10,4,0.4218,het (4 peaks),2392;2506;2720;2805,3.33;3.25;2.29;6.54
D11,1,0.0000,homozygous (1 peak),2343,8.50
D12,4,0.4736,het (4 peaks),2227;2311;2530;2650,2.61;2.50;2.52;2.48
E01,1,0.0000,homozygous (1 peak),2137,10.74
E02,1,0.0000,homozygous (1 peak),2263,9.51
E03,4,0.4669,het (4 peaks),2462;2587;2796;2870,3.81;9.62;4.52;5.28
E04,4,0.4395,het (4 peaks),2455;2574;2793;2874,4.33;6.68;6.19;5.96
E05,4,0.4303,het (4 peaks),2317;2409;2614;2699,2.61;4.13;3.98;3.68
E06,0,0.0000,no peaks,,
E07,1,0.0000,homozygous (1 peak),2359,11.28
E08,1,0.0000,homozygous (1 peak),2401,11.91
E09,1,0.0000,homozygous (1 peak),2509,10.32
E10,2,0.4273,het-like (2 peaks),2510;2539,11.27;8.41
E11,1,0.0000,homozygous (1 peak),2249,11.48
E12,1,0.0000,homozygous (1 peak),2309,9.25
F01,1,0.0000,homozygous (1 peak),2231,9.88
F02,4,0.4823,het (4 peaks),2162;2255;2456;2536,2.48;2.92;2.73;2.77
F03,1,0.0000,homozygous (1 peak),2476,14.70
F04,4,0.4397,het (4 peaks),2463;2584;2798;2877,4.65;7.55;6.57;6.22
F05,1,0.0000,homozygous (1 peak),2342,14.41
F06,1,0.0000,homozygous (1 peak),2372,17.60
F07,4,0.4464,het (4 peaks),2318;2405;2618;2715,3.93;5.47;5.05;5.19
F08,4,0.4102,het (4 peaks),2334;2419;2622;2717,5.02;5.03;6.78;6.89
F09,1,0.0000,homozygous (1 peak),2514,13.50
F10,4,0.4591,het (4 peaks),2393;2506;2715;2787,2.72;3.61;1.66;2.36
F11,4,0.4957,het (4 peaks),2273;2355;2565;2671,2.80;3.41;3.22;2.91
F12,4,0.4325,het (4 peaks),2230;2306;2528;2649,2.82;4.33;4.39;4.10
G01,4,0.4971,het (4 peaks),2157;2249;2455;2530,3.01;2.60;2.98;2.82
G02,1,0.0000,homozygous (1 peak),2150,9.09
G03,2,0.4937,het-like (2 peaks),2584;2605,12.75;12.43
G04,2,0.4732,het-like (2 peaks),2488;2512,11.46;12.75
G05,4,0.4504,het (4 peaks),2344;2453;2637;2719,3.22;5.28;3.41;5.00
G06,4,0.4792,het (4 peaks),2353;2448;2628;2709,2.85;3.93;3.50;3.48
G07,3,0.5988,low MF (3 peaks),2351;2541;2652,7.61;6.17;7.43
G08,1,0.0000,homozygous (1 peak),2400,11.06
G09,1,0.0000,homozygous (1 peak),2538,8.68
G10,4,0.4222,het (4 peaks),2423;2536;2729;2797,3.09;7.96;2.36;3.82
G11,4,0.4935,het (4 peaks),2248;2341;2554;2648,3.33;3.37;2.95;2.72
G12,1,0.0000,homozygous (1 peak),2225,10.31
H01,2,0.4364,het-like (2 peaks),2154;2175,1.36;1.05
H02,1,0.0000,homozygous (1 peak),2250,5.18
H03,4,0.3961,het (4 peaks),2438;2549;2769;2844,2.99;2.92;1.45;1.63
H04,2,0.4300,het-like (2 peaks),2556;2579,6.70;5.05
H05,1,0.0000,homozygous (1 peak),2385,10.18
H06,2,0.3786,het-like (2 peaks),2446;2468,11.75;7.16
H07,4,0.3750,het (4 peaks),2315;2400;2602;2706,4.38;3.48;2.07;1.63
H08,2,0.4435,het-like (2 peaks),2451;2472,5.81;4.63
H09,1,0.0000,homozygous (1 peak),2549,0.86
H10,4,0.4324,het (4 peaks),2437;2548;2739;2799,2.91;4.40;1.82;2.40
H11,4,0.4986,het (4 peaks),2338;2441;2666;2776,2.98;2.65;2.60;1.55
H12,4,0.4944,het (4 peaks),2241;2319;2543;2666,3.57;3.62;3.87;3.58
