# Plate,T3,Quality,POOR,FWHM_MAX,25
# IS_median_FWHM,949.0,Samp_median_FWHM,7.0,IS_per_well,9.0
Well,N_Peaks,MF,Status,Scans,Norm_Areas
A01,1,0.0000,homozygous (1 peak),2254,29.54
A02,3,0.6007,low MF (3 peaks),2226;2405;2520,8.61;11.55;9.14
A03,3,0.6046,low MF (3 peaks),2249;2427;2536,9.79;14.14;10.51
A04,1,0.0000,homozygous (1 peak),2193,31.13
A05,1,0.0000,homozygous (1 peak),2277,28.92
A06,0,0.0000,no peaks,,
A07,4,0.4813,het (4 peaks),2205;2264;2436;2544,8.43;8.64;10.45;9.27
A08,4,0.4739,het (4 peaks),2183;2241;2414;2522,10.89;9.73;11.29;9.79
A09,2,0.4638,het-like (2 peaks),2206;2217,17.01;14.72
A10,2,0.4829,het-like (2 peaks),2217;2237,13.25;14.19
A11,4,0.4587,het (4 peaks),2233;2309;2510;2613,10.16;10.50;13.37;10.11
A12,4,0.4994,het (4 peaks),2193;2247;2429;2554,12.25;8.64;10.21;10.54
B01,4,0.4834,het (4 peaks),2186;2238;2410;2520,10.61;9.00;11.51;10.48
B02,30,0.4969,het (30 peaks),2017;2052;2086;2117;2147;2179;2209;2241;2273;2306;2337;2369;2401;2431;2462;2493;2523;2552;2582;2612;2643;2675;2707;2739;2772;2805;2838;2870;2901;2934,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
B03,4,0.4441,het (4 peaks),2184;2249;2433;2541,10.29;10.40;15.33;10.89
B04,4,0.4686,het (4 peaks),2201;2273;2453;2556,28.38;27.87;32.56;28.84
B05,1,0.0000,homozygous (1 peak),2295,29.36
B06,4,0.4909,het (4 peaks),2215;2282;2463;2578,9.22;7.89;10.39;7.79
B07,1,0.0000,homozygous (1 peak),2272,25.78
B08,3,0.6600,low MF (3 peaks),2023;2060;2100,0.00;0.00;0.00
