Well,N_Peaks,MF,Status,Scans,Norm_Areas
A01,1,0.0000,homozygous (1 peak),2254,29.54
A02,3,0.6007,low MF (3 peaks),2226;2405;2520,8.61;11.55;9.14
A03,3,0.6046,low MF (3 peaks),2249;2427;2536,9.79;14.14;10.51
A04,1,0.0000,homozygous (1 peak),2193,31.13
A05,1,0.0000,homozygous (1 peak),2277,28.92
A06,0,0.0000,no peaks,,
A07,4,0.4813,het (4 peaks),2205;2264;2436;2544,8.43;8.64;10.45;9.27
A08,4,0.4739,het (4 peaks),2183;2241;2414;2522,10.89;9.73;11.29;9.79
A09,1,0.0000,homozygous (1 peak),2207,22.38
A10,1,0.0000,homozygous (1 peak),2218,15.23
A11,4,0.4587,het (4 peaks),2233;2309;2510;2613,10.16;10.50;13.37;10.11
A12,3,0.6580,low MF (3 peaks),2247;2429;2554,8.64;10.21;10.54
B01,4,0.4834,het (4 peaks),2186;2238;2410;2520,10.61;9.00;11.51;10.48
B02,2,0.4940,het-like (2 peaks),2274;2537,0.00;0.00
B03,4,0.4441,het (4 peaks),2184;2249;2433;2541,10.29;10.40;15.33;10.89
B04,4,0.4686,het (4 peaks),2201;2273;2453;2556,28.38;27.87;32.56;28.84
B05,1,0.0000,homozygous (1 peak),2295,29.36
B06,4,0.4909,het (4 peaks),2215;2282;2463;2578,9.22;7.89;10.39;7.79
B07,1,0.0000,homozygous (1 peak),2272,25.78
B08,1,0.0000,homozygous (1 peak),2042,0.00
B09,4,0.4523,het (4 peaks),2168;2223;2384;2496,5.04;5.35;6.39;5.61
B10,4,0.4291,het (4 peaks),2156;2217;2401;2512,7.18;6.20;9.08;7.04
B11,4,0.4978,het (4 peaks),2210;2285;2481;2587,10.66;12.30;12.96;11.28
B12,1,0.0000,homozygous (1 peak),2612,66.41
C01,4,0.4490,het (4 peaks),2166;2219;2398;2512,11.39;8.81;12.45;10.59
C02,2,0.4164,het-like (2 peaks),2268;2282,24.61;17.56
C03,4,0.4472,het (4 peaks),2185;2250;2429;2541,9.95;9.86;13.85;10.68
