Well,N_Peaks,MF,Status,Scans,Norm_Areas
A01,1,0.0000,homozygous (1 peak),2233,11.59
A02,4,0.4762,het (4 peaks),2124;2215;2412;2504,3.88;3.55;3.73;3.78
A03,4,0.4829,het (4 peaks),2446;2556;2778;2867,4.57;4.60;4.01;4.02
A04,4,0.4732,het (4 peaks),2440;2551;2771;2858,7.02;7.86;6.09;7.94
A05,1,0.0000,homozygous (1 peak),2436,11.21
A06,1,0.0000,homozygous (1 peak),2413,20.73
A07,1,0.0000,homozygous (1 peak),2353,17.46
A08,4,0.4848,het (4 peaks),2289;2357;2554;2667,5.74;5.32;5.72;4.91
A09,4,0.4902,het (4 peaks),2379;2477;2698;2802,3.92;3.22;3.48;3.34
A10,1,0.0000,homozygous (1 peak),2479,8.91
A11,1,0.0000,homozygous (1 peak),2252,13.45
A12,4,0.4527,het (4 peaks),2230;2310;2522;2640,3.41;3.73;3.92;4.06
B01,1,0.0000,homozygous (1 peak),2224,14.81
B02,4,0.4684,het (4 peaks),2159;2249;2450;2539,5.08;4.96;4.42;4.37
B03,4,0.4715,het (4 peaks),2456;2566;2784;2870,7.97;10.45;6.12;8.05
B04,4,0.4773,het (4 peaks),2418;2524;2748;2830,4.78;5.05;3.47;4.85
B05,4,0.4557,het (4 peaks),2323;2426;2632;2726,3.87;4.59;4.50;4.62
B06,1,0.0000,homozygous (1 peak),2294,19.28
B07,1,0.0000,homozygous (1 peak),2379,19.68
B08,1,0.0000,homozygous (1 peak),2292,24.54
B09,4,0.4848,het (4 peaks),2405;2513;2733;2818,4.61;4.25;3.78;4.66
B10,1,0.0000,homozygous (1 peak),2467,14.13
B11,4,0.4900,het (4 peaks),2246;2328;2539;2657,5.61;4.84;5.15;4.62
B12,1,0.0000,homozygous (1 peak),2310,13.98
C01,4,0.4777,het (4 peaks),2161;2239;2453;2546,4.48;3.84;4.22;4.19
C02,1,0.0000,homozygous (1 peak),2243,13.02
C03,1,0.0000,homozygous (1 peak),2579,17.02
C04,4,0.4583,het (4 peaks),2453;2566;2789;2868,4.16;4.48;3.28;4.67
C05,1,0.0000,homozygous (1 peak),2352,18.39
C06,4,0.4529,het (4 peaks),2344;2443;2650;2743,3.55;4.48;4.33;4.63
C07,1,0.0000,homozygous (1 peak),2381,24.70
C08,1,0.0000,homozygous (1 peak),2292,17.44
C09,2,0.4493,het-like (2 peaks),2512;2544,15.32;12.50
C10,1,0.0000,homozygous (1 peak),2395,13.86
C11,4,0.4914,het (4 peaks),2254;2336;2549;2663,3.83;2.81;3.06;2.09
C12,1,0.0000,homozygous (1 peak),2337,9.24
D01,4,0.4770,het (4 peaks),2158;2237;2446;2542,3.98;4.83;3.95;3.79
D02,4,0.4966,het (4 peaks),2162;2252;2447;2532,3.57;4.16;3.75;4.00
D03,4,0.4641,het (4 peaks),2464;2576;2793;2878,5.89;6.33;4.83;5.70
D04,1,0.0000,homozygous (1 peak),2448,15.00
D05,4,0.4642,het (4 peaks),2345;2453;2644;2729,6.48;6.07;6.45;6.41
D06,1,0.0000,homozygous (1 peak),2445,18.93
D07,1,0.0000,homozygous (1 peak),2415,12.50
D08,1,0.0000,homozygous (1 peak),2406,26.96
D09,3,0.6091,low MF (3 peaks),2402;2504;2806,3.40;3.77;4.24
D10,1,0.0000,homozygous (1 peak),2405,13.95
D11,4,0.4909,het (4 peaks),2288;2375;2588;2707,3.64;4.28;3.95;3.22
D12,4,0.4958,het (4 peaks),2256;2338;2559;2676,2.38;4.38;3.13;2.90
E01,1,0.0000,homozygous (1 peak),2167,11.57
E02,1,0.0000,homozygous (1 peak),2182,14.05
E03,4,0.4421,het (4 peaks),2469;2592;2799;2874,6.43;12.04;5.42;6.23
E04,4,0.4996,het (4 peaks),2459;2575;2793;2876,5.73;6.42;4.61;5.20
E05,4,0.4464,het (4 peaks),2335;2435;2634;2718,4.37;5.62;5.26;5.56
E06,1,0.0000,homozygous (1 peak),2344,9.23
E07,4,0.4685,het (4 peaks),2298;2380;2585;2685,6.36;6.86;7.77;5.10
E08,2,0.4664,het-like (2 peaks),2328;2339,12.18;13.93
E09,1,0.0000,homozygous (1 peak),2522,15.05
E10,2,0.2270,het-like (2 peaks),2407;2514,2.30;7.01
E11,1,0.0000,homozygous (1 peak),2278,12.34
E12,2,0.4881,het-like (2 peaks),2264;2337,3.80;3.67
F01,4,0.3736,het (4 peaks),2156;2244;2453;2531,4.84;5.34;3.01;2.85
F02,1,0.0000,homozygous (1 peak),2251,9.99
F03,1,0.0000,homozygous (1 peak),2482,15.55
F04,4,0.4955,het (4 peaks),2466;2584;2795;2878,5.01;8.50;3.76;7.47
F05,2,0.4371,het-like (2 peaks),2458;2476,15.13;11.75
F06,1,0.0000,homozygous (1 peak),2478,22.99
F07,1,0.0000,homozygous (1 peak),2407,18.77
F08,4,0.4505,het (4 peaks),2332;2418;2614;2707,7.48;8.57;8.87;7.55
F09,4,0.4603,het (4 peaks),2405;2513;2716;2783,3.82;6.40;3.43;3.87
F10,1,0.0000,homozygous (1 peak),2416,14.53
F11,4,0.4773,het (4 peaks),2298;2390;2600;2705,3.98;4.85;4.58;4.71
F12,4,0.4526,het (4 peaks),2245;2324;2545;2661,3.88;4.68;4.69;4.89
G01,4,0.4720,het (4 peaks),2154;2241;2447;2524,5.22;4.40;4.35;4.23
G02,1,0.0000,homozygous (1 peak),2262,12.36
G03,1,0.0000,homozygous (1 peak),2470,20.59
G04,4,0.4997,het (4 peaks),2496;2613;2822;2903,10.01;9.80;5.17;8.89
G05,4,0.4856,het (4 peaks),2347;2457;2640;2718,8.17;13.50;8.46;9.12
G06,2,0.4820,het-like (2 peaks),2450;2470,16.27;15.14
G07,0,0.0000,no peaks,,
G08,4,0.4793,het (4 peaks),2320;2408;2599;2682,3.23;4.39;3.72;3.49
G09,4,0.4988,het (4 peaks),2443;2555;2734;2796,3.60;3.51;3.18;3.25
G10,2,0.4999,het-like (2 peaks),2555;2569,10.99;10.99
G11,1,0.0000,homozygous (1 peak),2281,13.02
G12,1,0.0000,homozygous (1 peak),2347,13.48
H01,1,0.0000,homozygous (1 peak),2265,13.41
H02,4,0.3636,het (4 peaks),2157;2241;2430;2511,5.00;2.43;2.19;2.05
H03,1,0.0000,homozygous (1 peak),2440,11.96
H04,4,0.4930,het (4 peaks),2452;2563;2777;2856,4.11;3.98;2.93;3.64
H05,2,0.3982,het-like (2 peaks),2309;2610,6.26;3.92
H06,1,0.0000,homozygous (1 peak),2451,19.92
H07,4,0.4949,het (4 peaks),2326;2408;2608;2709,4.60;5.50;4.42;4.40
H08,4,0.4643,het (4 peaks),2357;2455;2637;2707,7.67;10.92;9.81;6.55
H09,1,0.0000,homozygous (1 peak),2553,12.32
H10,1,0.0000,homozygous (1 peak),2570,13.38
H11,1,0.0000,homozygous (1 peak),2459,11.53
H12,1,0.0000,homozygous (1 peak),2338,11.46
