well,dll_bases,dll_match,dll_fi,dll_pi,dll_cov,ours_bases,ours_match,ours_fi,ours_pi,ours_cov
A01,839,790,94.16,95.39,95.35,709,658,92.81,96.48,93.37
B04,857,761,88.80,96.09,90.32,726,687,94.63,94.74,94.90
C09,883,736,83.35,98.00,84.03,743,670,90.17,95.84,90.17
B05,861,743,86.30,97.51,87.11,724,663,91.57,96.08,91.71
D12,869,737,84.81,97.23,85.73,709,671,94.64,95.16,94.50
H11,855,750,87.72,97.65,88.07,725,677,93.38,95.74,93.24
