well,dll_b,dll_matched,dll_fi,cfg0_b,cfg0_m,cfg0_fi,cfg0_n,cfg1_b,cfg1_m,cfg1_fi,cfg1_n,cfg2_b,cfg2_m,cfg2_fi,cfg2_n,cfg3_b,cfg3_m,cfg3_fi,cfg3_n,cfg4_b,cfg4_m,cfg4_fi,cfg4_n
A01,839,790,94.15971394517283,780,700,89.74358974358974,780,794,710,89.4206549118388,794,688,664,96.51162790697674,688,819,718,87.66788766788767,819,842,734,87.17339667458432,842
B04,857,761,88.79813302217036,755,704,93.24503311258277,755,791,708,89.50695322376738,791,688,673,97.81976744186046,688,807,711,88.10408921933086,807,824,711,86.2864077669903,824
B05,861,743,86.29500580720092,749,680,90.78771695594125,749,785,688,87.64331210191082,785,693,672,96.96969696969697,693,807,689,85.37794299876084,807,816,689,84.43627450980392,816
C09,883,736,83.35220838052095,771,687,89.10505836575875,771,810,704,86.91358024691358,810,694,670,96.54178674351586,694,822,715,86.98296836982968,822,831,715,86.04091456077016,831
D12,869,737,84.81012658227849,756,687,90.87301587301587,756,788,701,88.95939086294416,788,699,674,96.42346208869814,699,799,703,87.98498122653316,799,821,706,85.99269183922047,821
H11,855,750,87.71929824561404,751,688,91.61118508655126,751,798,692,86.71679197994987,798,695,677,97.41007194244604,695,816,718,87.99019607843137,816,822,719,87.46958637469587,822
