well,n_regions,margin,stitch,tail_frac,matched,full_identity,pident,dll_matched
A03,8,0.02,vote,0.7,659,78.63961813842482,93.875,729
A03,8,0.02,vote,0.8,660,78.75894988066825,94.151,729
A03,8,0.02,vote,0.9,704,84.00954653937947,92.5,729
A03,8,0.02,conf,0.6,652,77.80429594272077,92.877,729
A03,8,0.02,conf,0.7,659,78.63961813842482,93.875,729
A03,8,0.02,conf,0.8,660,78.75894988066825,94.151,729
A03,8,0.02,conf,0.9,704,84.00954653937947,92.5,729
A03,8,0.02,wmax,0.6,652,77.80429594272077,92.877,729
A03,8,0.02,wmax,0.7,659,78.63961813842482,93.875,729
A03,8,0.02,wmax,0.8,660,78.75894988066825,94.151,729
A03,8,0.02,wmax,0.9,704,84.00954653937947,92.5,729
A05,6,0.0,vote,0.6,700,82.25616921269095,94.723,749
A05,6,0.0,vote,0.7,702,82.49118683901293,94.993,749
A05,6,0.0,vote,0.8,710,83.43125734430082,96.076,749
A05,6,0.0,vote,0.9,724,85.07638072855464,96.662,749
A05,6,0.0,conf,0.6,700,82.25616921269095,94.723,749
A05,6,0.0,conf,0.7,702,82.49118683901293,94.993,749
A05,6,0.0,conf,0.8,710,83.43125734430082,96.076,749
A05,6,0.0,conf,0.9,724,85.07638072855464,96.662,749
A05,6,0.0,wmax,0.6,700,82.25616921269095,94.723,749
A05,6,0.0,wmax,0.7,702,82.49118683901293,94.993,749
A05,6,0.0,wmax,0.8,710,83.43125734430082,96.076,749
A05,6,0.0,wmax,0.9,724,85.07638072855464,96.662,749
A05,6,0.02,vote,0.6,700,82.25616921269095,94.723,749
A05,6,0.02,vote,0.7,704,82.7262044653349,95.264,749
A05,6,0.02,vote,0.8,712,83.6662749706228,96.346,749
A05,6,0.02,vote,0.9,727,85.4289071680376,97.063,749
A05,6,0.02,conf,0.6,700,82.25616921269095,94.723,749
A05,6,0.02,conf,0.7,704,82.7262044653349,95.264,749
A05,6,0.02,conf,0.8,712,83.6662749706228,96.346,749
A05,6,0.02,conf,0.9,727,85.4289071680376,97.063,749
A05,6,0.02,wmax,0.6,700,82.25616921269095,94.723,749
A05,6,0.02,wmax,0.7,704,82.7262044653349,95.264,749
A05,6,0.02,wmax,0.8,712,83.6662749706228,96.346,749
A05,6,0.02,wmax,0.9,727,85.4289071680376,97.063,749
A05,8,0.0,vote,0.6,698,82.02115158636897,94.966,749
A05,8,0.0,vote,0.7,702,82.49118683901293,95.51,749
A05,8,0.0,vote,0.8,705,82.84371327849588,95.918,749
A05,8,0.0,vote,0.9,709,83.31374853113984,96.594,749
A05,8,0.0,conf,0.6,698,82.02115158636897,94.966,749
A05,8,0.0,conf,0.7,702,82.49118683901293,95.51,749
A05,8,0.0,conf,0.8,705,82.84371327849588,95.918,749
A05,8,0.0,conf,0.9,709,83.31374853113984,96.594,749
A05,8,0.0,wmax,0.6,698,82.02115158636897,94.966,749
A05,8,0.0,wmax,0.7,702,82.49118683901293,95.51,749
A05,8,0.0,wmax,0.8,705,82.84371327849588,95.918,749
A05,8,0.0,wmax,0.9,709,83.31374853113984,96.594,749
A05,8,0.02,vote,0.6,698,82.02115158636897,94.966,749
A05,8,0.02,vote,0.7,701,82.37367802585194,95.374,749
A05,8,0.02,vote,0.8,705,82.84371327849588,95.918,749
A05,8,0.02,vote,0.9,708,83.19623971797886,96.458,749
A05,8,0.02,conf,0.6,698,82.02115158636897,94.966,749
A05,8,0.02,conf,0.7,701,82.37367802585194,95.374,749
A05,8,0.02,conf,0.8,705,82.84371327849588,95.918,749
A05,8,0.02,conf,0.9,708,83.19623971797886,96.458,749
A05,8,0.02,wmax,0.6,698,82.02115158636897,94.966,749
A05,8,0.02,wmax,0.7,701,82.37367802585194,95.374,749
A05,8,0.02,wmax,0.8,705,82.84371327849588,95.918,749
A05,8,0.02,wmax,0.9,708,83.19623971797886,96.458,749
A07,6,0.0,vote,0.6,594,70.71428571428571,88.922,742
A07,6,0.0,vote,0.7,595,70.83333333333333,89.339,742
A07,6,0.0,vote,0.8,613,72.97619047619048,89.099,742
A07,6,0.0,vote,0.9,666,79.28571428571429,88.079,742
A07,6,0.0,conf,0.6,594,70.71428571428571,88.922,742
A07,6,0.0,conf,0.7,595,70.83333333333333,89.339,742
A07,6,0.0,conf,0.8,613,72.97619047619048,89.099,742
A07,6,0.0,conf,0.9,666,79.28571428571429,88.079,742
A07,6,0.0,wmax,0.6,594,70.71428571428571,88.922,742
A07,6,0.0,wmax,0.7,595,70.83333333333333,89.339,742
A07,6,0.0,wmax,0.8,613,72.97619047619048,89.099,742
A07,6,0.0,wmax,0.9,666,79.28571428571429,88.079,742
A07,6,0.02,vote,0.6,592,70.47619047619048,88.623,742
A07,6,0.02,vote,0.7,593,70.5952380952381,89.039,742
A07,6,0.02,vote,0.8,611,72.73809523809524,88.808,742
A07,6,0.02,vote,0.9,665,79.16666666666667,87.947,742
A07,6,0.02,conf,0.6,592,70.47619047619048,88.623,742
A07,6,0.02,conf,0.7,593,70.5952380952381,89.039,742
A07,6,0.02,conf,0.8,611,72.73809523809524,88.808,742
A07,6,0.02,conf,0.9,665,79.16666666666667,87.947,742
A07,6,0.02,wmax,0.6,592,70.47619047619048,88.623,742
A07,6,0.02,wmax,0.7,593,70.5952380952381,89.039,742
A07,6,0.02,wmax,0.8,611,72.73809523809524,88.808,742
A07,6,0.02,wmax,0.9,665,79.16666666666667,87.947,742
A07,8,0.0,vote,0.6,611,72.73809523809524,88.679,742
A07,8,0.0,vote,0.7,619,73.69047619047619,90.102,742
A07,8,0.0,vote,0.8,620,73.80952380952381,90.379,742
A07,8,0.0,vote,0.9,671,79.88095238095238,89.348,742
A07,8,0.0,conf,0.6,611,72.73809523809524,88.679,742
A07,8,0.0,conf,0.7,619,73.69047619047619,90.102,742
A07,8,0.0,conf,0.8,620,73.80952380952381,90.379,742
A07,8,0.0,conf,0.9,671,79.88095238095238,89.348,742
A07,8,0.0,wmax,0.6,611,72.73809523809524,88.679,742
A07,8,0.0,wmax,0.7,619,73.69047619047619,90.102,742
A07,8,0.0,wmax,0.8,620,73.80952380952381,90.379,742
A07,8,0.0,wmax,0.9,671,79.88095238095238,89.348,742
A07,8,0.02,vote,0.6,614,73.0952380952381,89.115,742
A07,8,0.02,vote,0.7,623,74.16666666666667,90.684,742
A07,8,0.02,vote,0.8,625,74.4047619047619,91.108,742
A07,8,0.02,vote,0.9,676,80.47619047619048,90.013,742
A07,8,0.02,conf,0.6,612,72.85714285714286,88.824,742
A07,8,0.02,conf,0.7,621,73.92857142857143,90.393,742
A07,8,0.02,conf,0.8,623,74.16666666666667,90.816,742
A07,8,0.02,conf,0.9,674,80.23809523809524,89.747,742
A07,8,0.02,wmax,0.6,612,72.85714285714286,88.824,742
A07,8,0.02,wmax,0.7,621,73.92857142857143,90.393,742
A07,8,0.02,wmax,0.8,623,74.16666666666667,90.816,742
A07,8,0.02,wmax,0.9,674,80.23809523809524,89.747,742
A09,6,0.0,vote,0.6,759,87.34177215189874,93.342,788
A09,6,0.0,vote,0.7,765,88.03222094361335,94.081,788
A09,6,0.0,vote,0.8,766,88.14729574223244,94.321,788
A09,6,0.0,vote,0.9,733,84.34982738780207,97.6,788
A09,6,0.0,conf,0.6,759,87.34177215189874,93.342,788
A09,6,0.0,conf,0.7,765,88.03222094361335,94.081,788
A09,6,0.0,conf,0.8,766,88.14729574223244,94.321,788
A09,6,0.0,conf,0.9,733,84.34982738780207,97.6,788
A09,6,0.0,wmax,0.6,759,87.34177215189874,93.342,788
A09,6,0.0,wmax,0.7,765,88.03222094361335,94.081,788
A09,6,0.0,wmax,0.8,766,88.14729574223244,94.321,788
A09,6,0.0,wmax,0.9,733,84.34982738780207,97.6,788
A09,6,0.02,vote,0.6,758,87.22669735327963,93.218,788
A09,6,0.02,vote,0.7,764,87.91714614499425,93.958,788
A09,6,0.02,vote,0.8,765,88.03222094361335,94.198,788
A09,6,0.02,vote,0.9,751,86.42117376294591,96.521,788
A09,6,0.02,conf,0.6,758,87.22669735327963,93.218,788
A09,6,0.02,conf,0.7,763,87.80207134637514,93.835,788
A09,6,0.02,conf,0.8,764,87.91714614499425,94.074,788
A09,6,0.02,conf,0.9,730,84.00460299194476,97.2,788
A09,6,0.02,wmax,0.6,758,87.22669735327963,93.218,788
A09,6,0.02,wmax,0.7,763,87.80207134637514,93.835,788
A09,6,0.02,wmax,0.8,764,87.91714614499425,94.074,788
A09,6,0.02,wmax,0.9,730,84.00460299194476,97.2,788
A09,8,0.0,vote,0.6,749,86.19102416570772,94.564,788
A09,8,0.0,vote,0.7,753,86.65132336018412,95.07,788
A09,8,0.0,vote,0.8,755,86.88147295742232,95.322,788
A09,8,0.0,vote,0.9,730,84.00460299194476,97.333,788
A09,8,0.0,conf,0.6,749,86.19102416570772,94.564,788
A09,8,0.0,conf,0.7,753,86.65132336018412,95.07,788
A09,8,0.0,conf,0.8,755,86.88147295742232,95.322,788
A09,8,0.0,conf,0.9,730,84.00460299194476,97.333,788
A09,8,0.0,wmax,0.6,749,86.19102416570772,94.564,788
A09,8,0.0,wmax,0.7,753,86.65132336018412,95.07,788
A09,8,0.0,wmax,0.8,755,86.88147295742232,95.322,788
A09,8,0.0,wmax,0.9,730,84.00460299194476,97.333,788
A09,8,0.02,vote,0.6,751,86.42117376294591,94.69,788
A09,8,0.02,vote,0.7,755,86.88147295742232,95.196,788
A09,8,0.02,vote,0.8,757,87.11162255466053,95.449,788
A09,8,0.02,vote,0.9,732,84.23475258918297,97.467,788
A09,8,0.02,conf,0.6,751,86.42117376294591,94.69,788
A09,8,0.02,conf,0.7,755,86.88147295742232,95.196,788
A09,8,0.02,conf,0.8,757,87.11162255466053,95.449,788
A09,8,0.02,conf,0.9,732,84.23475258918297,97.467,788
A09,8,0.02,wmax,0.6,751,86.42117376294591,94.69,788
A09,8,0.02,wmax,0.7,755,86.88147295742232,95.196,788
A09,8,0.02,wmax,0.8,757,87.11162255466053,95.449,788
A09,8,0.02,wmax,0.9,732,84.23475258918297,97.467,788
A11,6,0.0,vote,0.6,713,84.57888493475681,94.688,739
A11,6,0.0,vote,0.7,717,85.05338078291815,95.219,739
A11,6,0.0,vote,0.8,720,85.40925266903915,95.618,739
A11,6,0.0,vote,0.9,731,86.71411625148279,97.078,739
A11,6,0.0,conf,0.6,713,84.57888493475681,94.688,739
A11,6,0.0,conf,0.7,717,85.05338078291815,95.219,739
A11,6,0.0,conf,0.8,720,85.40925266903915,95.618,739
A11,6,0.0,conf,0.9,731,86.71411625148279,97.078,739
A11,6,0.0,wmax,0.6,713,84.57888493475681,94.688,739
A11,6,0.0,wmax,0.7,717,85.05338078291815,95.219,739
A11,6,0.0,wmax,0.8,720,85.40925266903915,95.618,739
A11,6,0.0,wmax,0.9,731,86.71411625148279,97.078,739
A11,6,0.02,vote,0.6,713,84.57888493475681,94.688,739
