feature
Channel1_energy
Channel1_kurtosis
Channel1_max
Channel1_mean
Channel1_median
Channel1_min
Channel1_n_peaks
Channel1_p25
Channel1_p75
Channel1_peak_first_scan
Channel1_peak_last_scan
Channel1_peak_max_height
Channel1_peak_mean_height
Channel1_peak_mean_prominence
Channel1_peak_mean_width
Channel1_peak_spread
Channel1_peak_total_height
Channel1_region_energy
Channel1_region_max
Channel1_region_max_height
Channel1_region_mean
Channel1_region_mean_height
Channel1_region_mean_prominence
Channel1_region_mean_width
Channel1_region_n_peaks
Channel1_region_std
Channel1_skew
Channel1_std
Channel2_energy
Channel2_kurtosis
Channel2_max
Channel2_mean
Channel2_median
Channel2_min
Channel2_n_peaks
Channel2_p25
Channel2_p75
Channel2_peak_first_scan
Channel2_peak_last_scan
Channel2_peak_max_height
Channel2_peak_mean_height
Channel2_peak_mean_prominence
Channel2_peak_mean_width
Channel2_peak_spread
Channel2_peak_total_height
Channel2_region_energy
Channel2_region_max
Channel2_region_max_height
Channel2_region_mean
Channel2_region_mean_height
Channel2_region_mean_prominence
Channel2_region_mean_width
Channel2_region_n_peaks
Channel2_region_std
Channel2_skew
Channel2_std
Channel3_energy
Channel3_kurtosis
Channel3_max
Channel3_mean
Channel3_median
Channel3_min
Channel3_n_peaks
Channel3_p25
Channel3_p75
Channel3_peak_first_scan
Channel3_peak_last_scan
Channel3_peak_max_height
Channel3_peak_mean_height
Channel3_peak_mean_prominence
Channel3_peak_mean_width
Channel3_peak_spread
Channel3_peak_total_height
Channel3_region_energy
Channel3_region_max
Channel3_region_max_height
Channel3_region_mean
Channel3_region_mean_height
Channel3_region_mean_prominence
Channel3_region_mean_width
Channel3_region_n_peaks
Channel3_region_std
Channel3_skew
Channel3_std
Channel4_energy
Channel4_kurtosis
Channel4_max
Channel4_mean
Channel4_median
Channel4_min
Channel4_n_peaks
Channel4_p25
Channel4_p75
Channel4_peak_first_scan
Channel4_peak_last_scan
Channel4_peak_max_height
Channel4_peak_mean_height
Channel4_peak_mean_prominence
Channel4_peak_mean_width
Channel4_peak_spread
Channel4_peak_total_height
Channel4_region_energy
Channel4_region_max
Channel4_region_max_height
Channel4_region_mean
Channel4_region_mean_height
Channel4_region_mean_prominence
Channel4_region_mean_width
Channel4_region_n_peaks
Channel4_region_std
Channel4_skew
Channel4_std
Current_energy
Current_kurtosis
Current_max
Current_mean
Current_median
Current_min
Current_n_peaks
Current_p25
Current_p75
Current_peak_first_scan
Current_peak_last_scan
Current_peak_max_height
Current_peak_mean_height
Current_peak_mean_prominence
Current_peak_mean_width
Current_peak_spread
Current_peak_total_height
Current_region_energy
Current_region_max
Current_region_max_height
Current_region_mean
Current_region_mean_height
Current_region_mean_prominence
Current_region_mean_width
Current_region_n_peaks
Current_region_std
Current_skew
Current_std
IS_first_scan
IS_last_scan
IS_max_height
IS_mean_height
IS_n_peaks
IS_peak_1_height
IS_peak_1_scan
IS_peak_2_height
IS_peak_2_scan
IS_peak_3_height
IS_peak_3_scan
IS_peak_4_height
IS_peak_4_scan
IS_spread
IS_total_height
corr_Channel1_Channel2
corr_Channel1_Channel3
corr_Channel1_Channel4
corr_Channel1_Current
corr_Channel2_Channel3
corr_Channel2_Channel4
corr_Channel2_Current
corr_Channel3_Channel4
corr_Channel3_Current
corr_Channel4_Current
corr_full_Channel1_Channel2
corr_full_Channel1_Channel3
corr_full_Channel1_Channel4
corr_full_Channel1_Current
corr_full_Channel2_Channel3
corr_full_Channel2_Channel4
corr_full_Channel2_Current
corr_full_Channel3_Channel4
corr_full_Channel3_Current
corr_full_Channel4_Current
